case_date,judicial_officer,case_number
05-01-2021,Justice Coghlan,S ECR 2020 0348
06-01-2021,Justice Coghlan,S ECR 2020 0251
06-01-2021,Justice Stynes,S ECI 2021 00004
07-01-2021,Justice Coghlan,S ECR 2019 0290
08-01-2021,Justice Tinney,S ECR 2020 0148
08-01-2021,Justice Tinney,S ECR 2020 0237
11-01-2021,Justice Incerti,S ECR 2020 0349
11-01-2021,Justice Coghlan,S ECR 2019 0290
11-01-2021,Judicial Registrar Freeman,S ECR 2019 0168
11-01-2021,Judicial Registrar Freeman,S ECR 2020 0054
11-01-2021,Costs Registrar Conidi,S ECI 2020 03910
12-01-2021,Justice Croucher,S CR 2018 0331
12-01-2021,Justice Coghlan,S ECR 2019 0290
12-01-2021,Justice Coghlan,S CR 2018 0274
12-01-2021,Judicial Registrar Freeman,S ECR 2020 0371
12-01-2021,Judicial Registrar Freeman,S ECR 2020 0366
12-01-2021,Justice Digby,S CI 2015 06166
12-01-2021,Costs Registrar Walton,S ECI 2020 04128
13-01-2021,Justice Croucher,S CR 2018 0331
13-01-2021,Justice Coghlan,S ECR 2019 0290
13-01-2021,Justice Coghlan,S ECR 2020 0168
13-01-2021,Judicial Registrar Freeman,S ECR 2020 0375
13-01-2021,Judicial Registrar Freeman,S ECR 2020 0376
13-01-2021,Judicial Registrar Freeman,S ECR 2020 0377
14-01-2021,Justice Croucher,S CR 2018 0331
14-01-2021,Judicial Registrar Freeman,S ECR 2020 0163
15-01-2021,"Justice McLeish, Justice Emerton, Justice Weinberg",S EAPCR 2020 0053
15-01-2021,"Justice Emerton, Justice Weinberg, Justice Osborn",S EAPCR 2020 0045
15-01-2021,Justice T Forrest,S ECR 2019 0206
15-01-2021,Justice Croucher,S CR 2018 0331
15-01-2021,Justice Coghlan,S ECR 2020 0348
15-01-2021,Judicial Registrar Freeman,S ECR 2020 0162
18-01-2021,Justice T Forrest,S ECR 2019 0206
18-01-2021,Justice Croucher,S CR 2018 0331
18-01-2021,Justice Jane Dixon,S CR 2017 0100
18-01-2021,Justice Coghlan,S CR 2018 0274
18-01-2021,Associate Justice Hetyey,S ECI 2020 04299
18-01-2021,Costs Registrar Walton,S ECI 2020 04414
19-01-2021,The President,S EAPCR 2020 0018
19-01-2021,The President,S EAPCR 2020 0018
19-01-2021,"Justice McLeish, Justice Emerton, Justice Weinberg",S EAPCR 2020 0053
19-01-2021,"Justice Emerton, Justice Weinberg",S EAPCR 2020 0045
19-01-2021,Justice Croucher,S ECR 2020 0150
19-01-2021,Justice Incerti,S ECR 2021 0002
19-01-2021,Justice Jane Dixon,S CR 2015 0120
19-01-2021,Justice Jane Dixon,S CR 2017 0100
19-01-2021,Justice Coghlan,S ECR 2019 0290
19-01-2021,Justice Coghlan,S ECR 2020 0380
19-01-2021,Justice Incerti,S ECI 2020 00423
19-01-2021,Associate Justice Hetyey,S ECI 2019 04903
19-01-2021,Judicial Registrar Gourlay,S ECI 2020 03790
20-01-2021,Justice Croucher,S CR 2018 0331
20-01-2021,Justice Jane Dixon,S CR 2017 0100
20-01-2021,Justice Coghlan,S CI 2011 02436
20-01-2021,Judicial Registrar Irving,S ECI 2020 04155
20-01-2021,Judicial Registrar Irving,S ECI 2020 04478
20-01-2021,Judicial Registrar Irving,S ECI 2020 04529
20-01-2021,Judicial Registrar Irving,S ECI 2020 04570
20-01-2021,Judicial Registrar Irving,S ECI 2020 04633
20-01-2021,Judicial Registrar Irving,S ECI 2020 04644
20-01-2021,Associate Justice Daly,S ECI 2017 00145
21-01-2021,"Justice Niall, Justice Emerton",S EAPCR 2020 0267
21-01-2021,Justice Kaye,S CR 2018 0234
21-01-2021,Justice Incerti,S ECR 2021 0005
21-01-2021,Justice Jane Dixon,S CR 2017 0100
